,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
18034,18059,0,9,5,2,3,2,8,1,True
18746,18771,1,6,5,1,2,1,8,1,True
9716,9741,1,7,5,3,3,2,8,1,True
4250,4275,1,4,5,1,3,1,8,0,False
1180,1205,1,9,5,2,3,2,6,1,True
5764,5789,0,6,5,3,3,2,7,0,False
8417,8442,1,6,4,1,3,1,5,1,True
13142,13167,1,6,5,3,3,2,5,0,False
965,990,1,9,5,3,3,2,6,0,False
7644,7669,1,9,5,3,3,2,6,1,True
19951,19976,1,8,5,2,2,1,8,1,True
11128,11153,1,7,5,3,3,1,4,1,True
11852,11877,1,5,4,3,3,1,8,1,True
12374,12399,1,5,5,3,3,2,6,1,True
11870,11895,1,9,5,3,3,2,6,1,True
6977,7002,1,8,5,1,2,2,5,1,True
12139,12164,1,7,5,1,3,2,8,1,True
6007,6032,1,6,5,3,3,2,8,1,True
16178,16203,0,6,5,1,3,2,8,0,False
18883,18908,1,8,5,3,3,2,8,1,True
12195,12220,0,7,5,3,3,2,8,1,True
7731,7756,1,3,5,3,3,2,6,1,True
601,626,0,9,4,3,3,2,7,0,False
13090,13115,1,9,5,3,3,1,8,1,True
11290,11315,1,9,5,1,3,2,8,1,True
20015,20040,1,8,5,2,2,1,7,1,True
9990,10015,1,8,5,3,3,2,1,1,True
3776,3801,0,9,5,3,3,2,5,0,False
8185,8210,1,7,5,1,3,1,6,1,True
6375,6400,1,5,5,2,3,2,7,1,True
10684,10709,1,9,5,3,3,2,8,1,True
9771,9796,0,4,5,3,3,2,8,0,False
14476,14501,1,9,5,2,2,1,5,1,True
4802,4827,1,8,5,1,2,1,7,1,True
11709,11734,1,4,4,1,3,1,7,1,True
11628,11653,0,9,5,3,3,2,8,1,True
1970,1995,0,8,5,2,3,1,8,0,False
5480,5505,1,9,5,2,3,1,5,0,False
6234,6259,1,7,4,3,3,2,5,1,True
4671,4696,1,9,5,3,2,2,8,1,True
11468,11493,1,6,5,3,3,1,2,1,True
11189,11214,1,4,4,1,3,1,7,1,True
1882,1907,1,5,5,3,3,2,8,1,True
18515,18540,0,5,5,3,3,2,8,1,True
3184,3209,1,3,3,2,3,2,7,1,True
4187,4212,0,8,5,1,3,2,8,1,True
11490,11515,1,9,5,2,3,2,8,1,True
514,539,0,6,3,3,3,2,8,1,True
11404,11429,1,4,4,3,3,2,8,1,True
13086,13111,1,6,5,3,3,1,8,1,True
11060,11085,1,3,5,2,3,2,8,0,False
5704,5729,0,9,1,3,3,2,7,1,True
15836,15861,1,3,5,3,2,2,8,1,True
7012,7037,1,6,5,3,3,2,8,1,True
20003,20028,1,8,5,2,2,1,8,1,True
19867,19892,1,9,5,3,3,2,8,1,True
15224,15249,1,9,5,2,3,2,8,1,True
12289,12314,1,9,5,2,2,2,7,1,True
12198,12223,1,7,5,2,3,2,8,1,True
2806,2831,1,9,5,3,3,2,6,1,True
3488,3513,0,3,5,3,3,1,4,1,True
6853,6878,0,4,1,1,3,1,6,1,True
634,659,0,9,5,3,3,2,6,1,True
3866,3891,1,4,2,2,3,2,3,1,True
3023,3048,1,9,5,1,3,2,5,1,True
2964,2989,0,9,5,2,2,2,8,0,False
1624,1649,1,3,5,3,3,2,4,1,True
10751,10776,1,9,5,3,3,1,6,1,True
13622,13647,1,7,5,3,3,2,8,1,True
11144,11169,0,9,5,3,3,2,8,1,True
207,232,0,7,5,2,3,2,5,0,False
20324,20349,1,8,5,3,3,2,7,1,True
15215,15240,0,9,5,3,3,2,5,1,True
714,739,1,9,5,3,3,2,6,1,True
16614,16639,1,9,5,2,3,2,5,1,True
11360,11385,1,9,5,2,3,2,8,1,True
9152,9177,1,5,5,1,2,1,4,1,True
12899,12924,1,7,5,3,3,2,8,1,True
13087,13112,1,9,5,1,3,2,8,1,True
14289,14314,1,3,5,2,3,2,8,0,False
5839,5864,0,8,5,3,3,2,6,1,True
8550,8575,0,6,5,2,3,2,6,1,True
15045,15070,0,2,5,3,3,2,8,1,True
4882,4907,1,8,3,1,3,2,7,1,True
14373,14398,1,9,5,3,2,2,8,1,True
4658,4683,0,8,5,1,3,2,6,1,True
10541,10566,0,5,5,2,3,2,5,1,True
6703,6728,1,6,3,1,2,1,7,1,True
3243,3268,0,9,5,3,3,1,6,1,True
4066,4091,1,8,5,1,2,1,6,1,True
7217,7242,0,8,5,2,3,2,7,0,False
17805,17830,1,8,5,1,2,1,6,1,True
16324,16349,1,8,5,2,3,1,8,1,True
18175,18200,1,7,5,1,2,1,8,1,True
5635,5660,1,7,5,2,3,2,5,1,True
6303,6328,1,8,5,1,2,2,5,0,False
13112,13137,1,6,5,1,3,2,7,1,True
7455,7480,1,8,5,3,3,2,1,1,True
13469,13494,0,9,5,3,3,1,8,1,True
7274,7299,0,4,4,1,3,1,7,0,False
11297,11322,1,6,4,1,3,2,8,1,True
20593,20618,1,8,3,2,2,1,7,1,True
1345,1370,1,9,5,2,3,2,7,1,True
2131,2156,1,8,5,2,3,1,8,1,True
10421,10446,0,8,5,1,2,1,8,1,True
20777,20802,1,9,5,2,3,2,7,0,False
15218,15243,1,9,5,2,3,2,3,1,True
12969,12994,1,8,5,2,3,1,7,1,True
20760,20785,0,9,3,2,3,2,6,1,True
10627,10652,1,8,2,3,3,2,6,1,True
14816,14841,0,9,5,2,3,2,8,1,True
14497,14522,1,7,5,2,3,2,8,0,False
767,792,1,9,5,3,3,2,5,0,False
10638,10663,1,8,5,3,3,2,8,1,True
13541,13566,1,9,5,2,3,1,8,1,True
13052,13077,1,7,5,2,3,2,4,0,False
12163,12188,1,7,5,3,3,2,7,1,True
16974,16999,1,9,3,2,3,2,8,1,True
4745,4770,1,9,5,2,2,2,5,1,True
9862,9887,0,3,5,2,3,2,8,1,True
11242,11267,0,9,5,3,3,2,8,1,True
14585,14610,1,9,5,3,3,2,8,0,False
2109,2134,0,9,5,2,3,1,5,1,True
4930,4955,1,8,5,3,3,2,2,1,True
7637,7662,1,9,5,3,3,2,3,1,True
4009,4034,0,4,4,1,3,1,7,0,False
3328,3353,1,6,5,3,3,2,8,1,True
6113,6138,1,7,5,1,3,1,8,0,False
2954,2979,1,9,5,1,3,2,4,0,False
9708,9733,1,9,5,2,3,2,8,1,True
10778,10803,0,5,5,2,3,2,6,1,True
4765,4790,1,9,5,1,3,2,6,0,False
19540,19565,1,7,5,2,3,2,7,0,False
613,638,1,6,5,2,3,2,8,1,True
3395,3420,0,5,5,2,3,2,6,1,True
3814,3839,1,8,5,3,3,2,3,1,True
8091,8116,1,1,5,2,3,2,8,1,True
16104,16129,1,9,5,3,3,2,4,1,True
2276,2301,0,9,5,2,3,2,7,1,True
11879,11904,1,9,4,2,3,2,8,1,True
15126,15151,0,3,5,3,3,2,2,0,False
9985,10010,0,9,3,2,3,2,5,1,True
13304,13329,1,6,5,1,3,1,8,1,True
2878,2903,1,9,5,2,3,2,8,1,True
241,266,1,7,1,1,3,1,7,1,True
18756,18781,0,9,5,3,3,2,4,0,False
15078,15103,0,6,2,1,2,1,6,0,False
12069,12094,1,9,5,3,3,2,5,1,True
5820,5845,1,7,5,2,3,2,5,1,True
18449,18474,1,6,5,1,2,1,8,1,True
12371,12396,1,7,5,2,3,2,8,0,False
4809,4834,1,8,5,3,3,2,6,0,False
20380,20405,0,2,5,3,2,1,3,1,True
9374,9399,0,5,5,2,2,1,5,1,True
12223,12248,1,6,5,2,3,2,6,1,True
9989,10014,1,8,2,1,3,2,5,1,True
13174,13199,0,8,4,1,3,1,7,1,True
3489,3514,1,6,5,2,3,2,5,1,True
7828,7853,1,6,5,1,3,2,6,1,True
17074,17099,0,5,5,3,3,2,8,1,True
13314,13339,1,9,5,3,3,2,5,1,True
9980,10005,1,2,5,1,3,2,2,1,True
7822,7847,1,9,5,1,3,2,8,1,True
11708,11733,1,4,4,1,3,1,7,1,True
12158,12183,1,7,5,2,3,1,6,0,False
19156,19181,1,5,5,1,2,1,6,0,False
9684,9709,0,9,3,2,3,2,5,1,True
6403,6428,1,4,4,1,3,1,7,1,True
12844,12869,1,7,5,1,3,1,5,1,True
4937,4962,1,7,5,1,1,2,8,1,True
2854,2879,0,9,5,1,3,2,8,1,True
20978,21003,1,9,5,2,3,2,5,0,False
19357,19382,1,6,3,1,2,1,8,1,True
10396,10421,1,8,4,1,3,2,6,1,True
10276,10301,0,9,5,2,3,2,6,0,False
6997,7022,1,9,5,3,3,2,4,1,True
13878,13903,1,8,5,1,3,2,8,1,True
2163,2188,0,9,5,3,2,2,5,1,True
609,634,1,9,5,3,3,2,8,0,False
14066,14091,1,8,5,2,3,1,5,1,True
18727,18752,1,5,5,1,2,1,2,1,True
9299,9324,1,5,5,2,3,2,8,0,False
4210,4235,0,4,2,2,3,1,8,1,True
2479,2504,0,9,5,3,3,2,6,0,False
4243,4268,1,8,5,1,3,1,6,1,True
18118,18143,1,6,5,1,2,1,8,1,True
3727,3752,1,9,5,1,3,2,7,0,False
6458,6483,0,3,5,2,3,2,6,1,True
3750,3775,1,4,4,1,3,1,7,1,True
8750,8775,1,7,4,1,3,2,8,1,True
6387,6412,1,8,5,1,2,1,8,1,True
