,Unnamed: 0.1,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
1942,18421,18446,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
1943,13068,13093,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,Menos6M,1,True
1944,4083,4108,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1945,13214,13239,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,0,False
1946,15657,15682,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1947,1643,1668,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
1948,2656,2681,Masculino,Licenciatura,otro,confianza,diurno,NO,1A4A,1,True
1949,4022,4047,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,1,True
1950,20817,20842,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1951,7844,7869,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
1952,11383,11408,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,1,True
1953,17697,17722,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,NO,1A4A,1,True
1954,18625,18650,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1955,19490,19515,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,1A4A,1,True
1956,18947,18972,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,20A24A,1,True
1957,11232,11257,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
1958,16948,16973,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,SI,6M1A,1,True
1959,587,612,Masculino,Bachillerato,tiempodeterminado,ninguno,diurno,SI,Menos6M,1,True
1960,5701,5726,Femenino,Licenciatura,honorarios,confianza,diurno,NO,Menos6M,1,True
1961,6809,6834,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,6M1A,1,True
1962,9543,9568,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1,True
1963,19313,19338,Masculino,Secundaria,tiempoindeterminado,ninguno,mixto,SI,20A24A,1,True
1964,9121,9146,Masculino,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,10A14A,1,True
1965,16792,16817,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,0,False
1966,3341,3366,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,5A9A,1,True
1967,16313,16338,Masculino,Secundaria,tiempoindeterminado,confianza,mixto,SI,5A9A,1,True
1968,17201,17226,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,0,False
1969,11101,11126,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1970,19738,19763,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,SI,Menos6M,0,False
1971,14638,14663,Masculino,Doctorado,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
1972,11437,11462,Masculino,SinFormacion,porObraoProyecto,confianza,diurno,SI,Menos6M,1,True
1973,3165,3190,Masculino,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,15A19A,0,False
1974,13894,13919,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
1975,16320,16345,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1976,7510,7535,Femenino,Secundaria,tiempoindeterminado,confianza,diurno,NO,15A19A,0,False
1977,18880,18905,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,0,False
1978,15274,15299,Masculino,Primaria,otro,confianza,mixto,NO,20A24A,1,True
1979,17403,17428,Masculino,Secundaria,tiempodeterminado,sindicalizado,mixto,SI,10A14A,1,True
1980,5929,5954,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,1A4A,1,True
1981,390,415,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1982,393,418,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
1983,1429,1454,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
1984,9460,9485,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,1,True
1985,14056,14081,Masculino,SinFormacion,porObraoProyecto,ninguno,diurno,NO,6M1A,1,True
1986,7589,7614,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
1987,18745,18770,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
1988,10211,10236,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1,True
1989,11509,11534,Femenino,Licenciatura,honorarios,ninguno,diurno,NO,1A4A,1,True
1990,3485,3510,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,Menos6M,1,True
1991,2881,2906,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1992,294,319,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,6M1A,1,True
1993,11887,11912,Masculino,Secundaria,tiempoindeterminado,ninguno,diurno,SI,5A9A,1,True
1994,20370,20395,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,1,True
1995,19678,19703,Femenino,Preparatoria,otro,confianza,diurno,NO,1A4A,1,True
1996,11055,11080,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
1997,9314,9339,Masculino,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,5A9A,1,True
1998,11386,11411,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
1999,19216,19241,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
2000,15869,15894,Femenino,Bachillerato,otro,ninguno,diurno,NO,1A4A,1,True
2001,14050,14075,Femenino,Primaria,porObraoProyecto,sindicalizado,diurno,SI,6M1A,1,True
2002,17609,17634,Masculino,TecnicoSuperior,tiempoindeterminado,sindicalizado,mixto,SI,20A24A,1,True
2003,8318,8343,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,mixto,NO,15A19A,1,True
2004,5984,6009,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
2005,10805,10830,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,SI,1A4A,0,False
2006,13840,13865,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,6M1A,1,True
2007,15587,15612,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,0,False
2008,5315,5340,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,1,True
2009,3482,3507,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,0,False
2010,13108,13133,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,1,True
2011,2503,2528,Masculino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,6M1A,1,True
2012,15022,15047,Femenino,Primaria,tiempoindeterminado,ninguno,diurno,SI,1A4A,1,True
2013,2483,2508,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
2014,20048,20073,Masculino,Secundaria,tiempoindeterminado,sindicalizado,mixto,SI,Menos6M,1,True
2015,17506,17531,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,Menos6M,0,False
2016,11020,11045,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,1,True
2017,1090,1115,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,1,True
2018,2984,3009,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,1,True
2019,1896,1921,Masculino,Preparatoria,tiempoindeterminado,confianza,mixto,NO,1A4A,1,True
2020,5587,5612,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,1A4A,1,True
2021,17341,17366,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
2022,5243,5268,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,1,True
2023,19687,19712,Femenino,Licenciatura,tiempodeterminado,ninguno,diurno,NO,1A4A,1,True
2024,18274,18299,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,1,True
2025,2110,2135,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,1,True
2026,16844,16869,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,Mas25A,1,True
