,Id_respuesta,Id_empleado_nom35,Id_res_nom35,respuesta,date,Indice
1334,2195,55,24,2,2019-07-17,327
1335,2196,55,25,2,2019-07-17,328
1336,2197,55,26,2,2019-07-17,329
1337,2198,55,27,2,2019-07-17,330
1338,2199,55,28,2,2019-07-17,331
1339,2200,55,29,2,2019-07-17,332
1340,2201,55,30,2,2019-07-17,333
1341,2202,55,31,2,2019-07-17,334
1342,2203,55,32,2,2019-07-17,335
1343,2204,55,33,2,2019-07-17,336
1344,2205,55,34,2,2019-07-17,337
1345,2206,55,35,2,2019-07-17,338
1346,2207,55,36,2,2019-07-17,339
1347,2208,55,37,2,2019-07-17,340
1348,2209,55,38,2,2019-07-17,341
1349,2210,55,39,2,2019-07-17,342
1350,2211,55,40,2,2019-07-17,343
1351,2212,55,41,2,2019-07-17,344
1352,2213,55,42,2,2019-07-17,345
1353,2214,55,43,2,2019-07-17,346
1354,2215,55,44,2,2019-07-17,347
1355,2216,55,45,2,2019-07-17,348
1356,2217,55,46,2,2019-07-17,349
1357,2218,58,93,2,2019-07-18,350
1358,2219,58,94,2,2019-07-18,351
1359,2220,58,95,2,2019-07-18,352
1360,2221,58,96,2,2019-07-18,353
1361,2222,58,97,2,2019-07-18,354
1362,2223,58,98,2,2019-07-18,355
1363,2224,58,99,2,2019-07-18,356
1364,2225,58,100,2,2019-07-18,357
1365,2226,58,101,2,2019-07-18,358
1366,2227,58,102,2,2019-07-18,359
1367,2228,58,103,2,2019-07-18,360
1368,2229,58,104,2,2019-07-18,361
1369,2230,58,105,2,2019-07-18,362
1370,2231,58,106,2,2019-07-18,363
1371,2232,58,107,2,2019-07-18,364
1372,2233,58,108,2,2019-07-18,365
1373,2234,58,109,2,2019-07-18,366
1374,2235,58,110,2,2019-07-18,367
1375,2236,58,111,2,2019-07-18,368
1376,2237,58,112,2,2019-07-18,369
1377,2238,58,113,2,2019-07-18,370
1378,2239,58,114,2,2019-07-18,371
1379,2240,58,115,2,2019-07-18,372
1380,2241,58,116,2,2019-07-18,373
1381,2242,58,117,2,2019-07-18,374
1382,2243,58,118,2,2019-07-18,375
1383,2244,58,119,2,2019-07-18,376
1384,2245,58,120,2,2019-07-18,377
1385,2246,58,121,2,2019-07-18,378
1386,2247,58,122,2,2019-07-18,379
1387,2248,58,123,2,2019-07-18,380
1388,2249,58,124,2,2019-07-18,381
1389,2250,58,125,2,2019-07-18,382
1390,2251,58,126,2,2019-07-18,383
1391,2252,58,127,2,2019-07-18,384
1392,2253,58,128,2,2019-07-18,385
1393,2254,58,129,2,2019-07-18,386
1394,2255,58,130,2,2019-07-18,387
1395,2256,58,131,2,2019-07-18,388
1396,2257,58,132,2,2019-07-18,389
1397,2258,58,133,2,2019-07-18,390
1398,2259,58,134,2,2019-07-18,391
1399,2260,58,135,2,2019-07-18,392
1400,2261,58,136,2,2019-07-18,393
1401,2262,58,137,2,2019-07-18,394
1402,2263,58,138,2,2019-07-18,395
1403,2264,58,139,2,2019-07-18,396
1404,2265,58,140,2,2019-07-18,397
1405,2266,58,141,2,2019-07-18,398
1406,2267,58,142,2,2019-07-18,399
1407,2268,58,143,2,2019-07-18,400
1408,2269,58,144,2,2019-07-18,401
1409,2270,58,145,2,2019-07-18,402
1410,2271,58,146,2,2019-07-18,403
1411,2272,58,147,2,2019-07-18,404
1412,2273,58,148,2,2019-07-18,405
1413,2274,58,149,2,2019-07-18,406
1414,2275,58,150,2,2019-07-18,407
1415,2276,58,151,2,2019-07-18,408
1416,2277,58,152,2,2019-07-18,409
1417,2278,58,153,2,2019-07-18,410
1418,2279,58,154,2,2019-07-18,411
1419,2280,58,155,2,2019-07-18,412
1420,2281,58,156,2,2019-07-18,413
1421,2282,58,157,2,2019-07-18,414
1422,2283,58,158,2,2019-07-18,415
1423,2284,58,159,2,2019-07-18,416
1424,2285,58,160,2,2019-07-18,417
1425,2286,58,161,2,2019-07-18,418
1426,2287,58,162,2,2019-07-18,419
1427,2288,58,163,2,2019-07-18,420
1428,2289,58,164,2,2019-07-18,421
1429,2290,59,1,0,2019-07-19,422
1430,2291,59,2,0,2019-07-19,423
1431,2292,59,3,0,2019-07-19,424
1432,2293,59,4,2,2019-07-19,425
1433,2294,59,5,1,2019-07-19,426
1434,2295,59,6,2,2019-07-19,427
1435,2296,59,7,4,2019-07-19,428
1436,2297,59,8,2,2019-07-19,429
1437,2298,59,9,2,2019-07-19,430
1438,2299,59,10,4,2019-07-19,431
1439,2300,59,11,4,2019-07-19,432
1440,2301,59,12,1,2019-07-19,433
1441,2302,59,13,0,2019-07-19,434
1442,2303,59,14,4,2019-07-19,435
1443,2304,59,15,1,2019-07-19,436
1444,2305,59,16,2,2019-07-19,437
1445,2306,59,17,2,2019-07-19,438
1446,2307,59,18,0,2019-07-19,439
1447,2308,59,19,0,2019-07-19,440
1448,2309,59,20,2,2019-07-19,441
1449,2310,59,21,1,2019-07-19,442
1450,2311,59,22,0,2019-07-19,443
1451,2312,59,23,0,2019-07-19,444
1452,2313,59,24,1,2019-07-19,445
1453,2314,59,25,2,2019-07-19,446
1454,2315,59,26,1,2019-07-19,447
1455,2316,59,27,2,2019-07-19,448
1456,2317,59,28,0,2019-07-19,449
1457,2318,59,29,0,2019-07-19,450
1458,2319,59,30,1,2019-07-19,451
1459,2320,59,31,1,2019-07-19,452
1460,2321,59,32,1,2019-07-19,453
1461,2322,59,33,0,2019-07-19,454
1462,2323,59,34,2,2019-07-19,455
1463,2324,59,35,1,2019-07-19,456
1464,2325,59,36,0,2019-07-19,457
1465,2326,59,37,0,2019-07-19,458
1466,2327,59,38,2,2019-07-19,459
1467,2328,59,39,1,2019-07-19,460
1468,2329,59,40,0,2019-07-19,461
1469,2330,59,41,2,2019-07-19,462
1470,2331,59,42,1,2019-07-19,463
1471,2332,59,43,0,2019-07-19,464
1472,2333,59,44,2,2019-07-19,465
1473,2334,59,45,0,2019-07-19,466
1474,2335,59,46,0,2019-07-19,467
1475,2336,60,1,1,2019-07-19,468
1476,2337,60,2,1,2019-07-19,469
1477,2338,60,3,0,2019-07-19,470
1478,2339,60,4,3,2019-07-19,471
1479,2340,60,5,2,2019-07-19,472
