,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado,Categoria,Categoria_Num
144,Masculino,Doctorado,tiempoindeterminado,confianza,diurno,NO,5A9A,79.0,Alto,1
145,Femenino,Secundaria,tiempoindeterminado,confianza,diurno,NO,Menos6M,74.0,Alto,1
146,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,64.0,Medio,1
147,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,41.0,Bajo,0
148,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,36.0,Bajo,0
149,Masculino,Bachillerato,tiempodeterminado,ninguno,diurno,NO,Menos6M,53.0,Medio,1
150,Femenino,Maestria,porObraoProyecto,sindicalizado,diurno,NO,5A9A,65.0,Medio,1
151,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,49.0,Medio,1
152,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,1A4A,59.0,Medio,1
153,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,68.0,Medio,1
154,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,60.0,Medio,1
155,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,14.0,Nulo,0
156,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,29.0,Bajo,0
157,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,47.0,Medio,1
158,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,118.0,Muy Alto,1
159,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,51.0,Medio,1
160,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,33.0,Bajo,0
161,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,1A4A,26.0,Bajo,0
162,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,5A9A,94.0,Muy Alto,1
163,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,6M1A,66.0,Medio,1
164,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,49.0,Medio,1
