,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Resultado
3629,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,98.0
3630,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,37.0
3631,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,39.0
3632,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,NO,Menos6M,66.0
3633,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,NO,10A14A,27.0
3634,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,44.0
3635,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,60.0
3636,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,63.0
3637,Masculino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,151.0
3638,Masculino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,Mas25A,40.0
3639,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,NO,5A9A,99.0
3640,Masculino,Secundaria,tiempodeterminado,ninguno,diurno,NO,Menos6M,158.0
3641,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,68.0
3642,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,146.0
3643,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,SI,1A4A,50.0
3644,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,115.0
3645,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,SI,Menos6M,47.0
3646,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,107.0
3647,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,94.0
3648,Femenino,Maestria,tiempoindeterminado,confianza,mixto,NO,5A9A,39.0
3649,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,43.0
3650,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,79.0
3651,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,Menos6M,159.0
3652,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,114.0
3653,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,109.0
3654,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,171.0
3655,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,90.0
3656,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,92.0
3657,Masculino,Licenciatura,otro,ninguno,diurno,NO,5A9A,65.0
3658,Masculino,Licenciatura,otro,ninguno,diurno,SI,5A9A,86.0
3659,Masculino,Licenciatura,otro,ninguno,diurno,NO,15A19A,116.0
3660,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,104.0
3661,Femenino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,1A4A,34.0
3662,Masculino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,6M1A,198.0
3663,Femenino,Licenciatura,otro,ninguno,diurno,NO,5A9A,123.0
3664,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,84.0
3665,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,15A19A,44.0
3666,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,174.0
3667,Masculino,Licenciatura,tiempoindeterminado,confianza,mixto,NO,1A4A,83.0
3668,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,60.0
3669,Masculino,Licenciatura,porObraoProyecto,ninguno,diurno,NO,Menos6M,66.0
3670,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,42.0
3671,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,41.0
3672,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,49.0
3673,Masculino,Licenciatura,porObraoProyecto,ninguno,diurno,NO,Menos6M,61.0
3674,Femenino,Licenciatura,porObraoProyecto,ninguno,diurno,NO,Menos6M,25.0
3675,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,61.0
3676,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,108.0
3677,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,21.0
3678,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,100.0
3679,Masculino,Licenciatura,porObraoProyecto,confianza,diurno,SI,10A14A,122.0
3680,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,72.0
3681,Masculino,Licenciatura,honorarios,ninguno,diurno,SI,15A19A,86.0
3682,Femenino,Licenciatura,tiempodeterminado,confianza,diurno,NO,10A14A,53.0
3683,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,38.0
3684,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,6M1A,70.0
3685,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,72.0
3686,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,SI,Menos6M,75.0
3687,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,60.0
3688,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,76.0
3689,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,68.0
3690,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,105.0
3691,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,86.0
3692,Masculino,Maestria,honorarios,confianza,diurno,NO,5A9A,58.0
3693,Femenino,Maestria,otro,confianza,diurno,NO,6M1A,79.0
3694,Femenino,Preparatoria,otro,ninguno,diurno,NO,5A9A,173.0
3695,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,84.0
3696,Femenino,TecnicoSuperior,porObraoProyecto,sindicalizado,diurno,NO,5A9A,105.0
3697,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,74.0
3698,Femenino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,10A14A,111.0
3699,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,10A14A,82.0
3700,Masculino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,5A9A,76.0
3701,Femenino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,34.0
3702,Masculino,Bachillerato,tiempoindeterminado,confianza,mixto,NO,Menos6M,139.0
3703,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,76.0
3704,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,51.0
3705,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,20A24A,61.0
3706,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,82.0
3707,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,59.0
3708,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,162.0
3709,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,79.0
3710,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,19.0
3711,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,83.0
3712,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,37.0
3713,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,30.0
3714,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,80.0
3715,Masculino,TecnicoSuperior,tiempoindeterminado,ninguno,diurno,NO,1A4A,0.0
3716,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,112.0
3717,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,82.0
3718,Femenino,Secundaria,tiempodeterminado,sindicalizado,diurno,NO,Menos6M,78.0
3719,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,178.0
3720,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,59.0
3721,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,6M1A,95.0
3722,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,69.0
3723,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,3.0
3724,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,98.0
3725,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,Menos6M,55.0
3726,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,10A14A,52.0
3727,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,75.0
3728,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,42.0
3729,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,84.0
3730,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,74.0
3731,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,52.0
3732,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,99.0
3733,Masculino,Preparatoria,honorarios,ninguno,diurno,SI,6M1A,71.0
3734,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,68.0
3735,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,51.0
3736,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,69.0
3737,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,85.0
3738,Masculino,SinFormacion,tiempoindeterminado,confianza,diurno,NO,15A19A,130.0
3739,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,123.0
3740,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,53.0
3741,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,46.0
3742,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,81.0
3743,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,104.0
3744,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,23.0
3745,Masculino,Primaria,tiempoindeterminado,ninguno,diurno,NO,1A4A,23.0
3746,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,15A19A,48.0
3747,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,146.0
3748,Masculino,Preparatoria,tiempoindeterminado,ninguno,diurno,NO,1A4A,135.0
3749,Femenino,TecnicoSuperior,porObraoProyecto,sindicalizado,diurno,NO,1A4A,126.0
3750,Femenino,TecnicoSuperior,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,53.0
3751,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,120.0
3752,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,24.0
3753,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,100.0
3754,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,57.0
3755,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,61.0
3756,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,69.0
3757,Femenino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,1A4A,138.0
3758,Femenino,Licenciatura,porObraoProyecto,confianza,diurno,NO,6M1A,63.0
3759,Femenino,Secundaria,porObraoProyecto,ninguno,diurno,NO,15A19A,110.0
3760,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,51.0
3761,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,67.0
3762,Masculino,Bachillerato,tiempodeterminado,sindicalizado,diurno,NO,1A4A,133.0
3763,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,18.0
3764,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,51.0
3765,Masculino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,186.0
3766,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,105.0
3767,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,131.0
3768,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,58.0
3769,Masculino,Bachillerato,tiempoindeterminado,ninguno,mixto,SI,Menos6M,109.0
3770,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,92.0
3771,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,124.0
3772,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,59.0
3773,Femenino,Secundaria,tiempoindeterminado,ninguno,diurno,NO,10A14A,35.0
3774,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,10A14A,74.0
3775,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,62.0
3776,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,105.0
3777,Femenino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,80.0
3778,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,74.0
3779,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,59.0
3780,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,97.0
3781,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,17.0
3782,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,31.0
3783,Masculino,Bachillerato,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,12.0
3784,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,136.0
3785,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,91.0
3786,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,103.0
3787,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,138.0
3788,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,105.0
3789,Masculino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,46.0
3790,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,156.0
3791,Masculino,Bachillerato,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,99.0
3792,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,64.0
3793,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,118.0
3794,Masculino,Bachillerato,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,83.0
3795,Masculino,SinFormacion,porObraoProyecto,ninguno,diurno,SI,Menos6M,92.0
3796,Femenino,Preparatoria,tiempoindeterminado,confianza,diurno,NO,1A4A,51.0
3797,Masculino,Licenciatura,tiempoindeterminado,confianza,mixto,SI,1A4A,68.0
3798,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,79.0
3799,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,54.0
3800,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,89.0
3801,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,41.0
3802,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,52.0
3803,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,86.0
3804,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,59.0
3805,Masculino,Bachillerato,tiempoindeterminado,confianza,diurno,NO,Menos6M,45.0
3806,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,5A9A,99.0
3807,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,42.0
3808,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,5A9A,145.0
3809,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,145.0
3810,Masculino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,6M1A,40.0
3811,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,SI,1A4A,43.0
3812,Femenino,Licenciatura,otro,sindicalizado,diurno,NO,5A9A,57.0
3813,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,75.0
3814,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,149.0
3815,Masculino,Licenciatura,tiempodeterminado,sindicalizado,diurno,NO,6M1A,42.0
3816,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,68.0
3817,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,64.0
3818,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,74.0
3819,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,68.0
3820,Femenino,Licenciatura,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,91.0
3821,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,146.0
3822,Femenino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,6M1A,94.0
3823,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,38.0
3824,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,24.0
3825,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,125.0
3826,Femenino,TecnicoSuperior,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,68.0
3827,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,31.0
3828,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,61.0
3829,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,44.0
3830,Femenino,Preparatoria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,42.0
3831,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,26.0
3832,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,65.0
3833,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,Menos6M,25.0
3834,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,65.0
3835,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,96.0
3836,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,79.0
3837,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,Menos6M,53.0
3838,Masculino,Licenciatura,tiempodeterminado,confianza,diurno,NO,Menos6M,52.0
3839,Masculino,Secundaria,tiempoindeterminado,confianza,diurno,NO,15A19A,59.0
3840,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,119.0
3841,Femenino,SinFormacion,tiempoindeterminado,confianza,diurno,NO,15A19A,84.0
3842,Femenino,Licenciatura,porObraoProyecto,confianza,diurno,NO,1A4A,116.0
3843,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,62.0
3844,Masculino,Secundaria,tiempoindeterminado,confianza,mixto,SI,1A4A,89.0
3845,Masculino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,73.0
3846,Masculino,Secundaria,tiempodeterminado,sindicalizado,diurno,NO,Menos6M,44.0
3847,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,5A9A,63.0
3848,Femenino,Secundaria,tiempodeterminado,sindicalizado,diurno,NO,Menos6M,49.0
3849,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,61.0
3850,Masculino,Secundaria,tiempoindeterminado,confianza,mixto,SI,Menos6M,25.0
3851,Femenino,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,27.0
3852,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,59.0
3853,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,24.0
3854,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,23.0
3855,Femenino,Secundaria,tiempoindeterminado,confianza,mixto,SI,5A9A,28.0
3856,Femenino,Secundaria,porObraoProyecto,sindicalizado,diurno,NO,Menos6M,46.0
3857,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,Menos6M,43.0
3858,Masculino,Secundaria,tiempoindeterminado,confianza,mixto,SI,1A4A,55.0
3859,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,48.0
3860,Masculino,Bachillerato,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,55.0
3861,Masculino,Bachillerato,tiempoindeterminado,confianza,mixto,SI,Menos6M,39.0
3862,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,43.0
3863,Masculino,Licenciatura,otro,confianza,diurno,NO,1A4A,78.0
3864,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,37.0
3865,Femenino,Primaria,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,41.0
3866,Masculino,Preparatoria,porObraoProyecto,confianza,mixto,SI,Menos6M,46.0
3867,Masculino,Licenciatura,honorarios,sindicalizado,diurno,NO,Menos6M,52.0
3868,Femenino,Preparatoria,tiempodeterminado,sindicalizado,diurno,NO,Menos6M,76.0
3869,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,6M1A,61.0
3870,Masculino,Licenciatura,tiempoindeterminado,ninguno,diurno,NO,1A4A,34.0
3871,Femenino,Preparatoria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,42.0
3872,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,34.0
3873,Masculino,Licenciatura,porObraoProyecto,ninguno,diurno,NO,6M1A,116.0
3874,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,65.0
3875,Masculino,Bachillerato,tiempoindeterminado,ninguno,diurno,NO,Menos6M,28.0
3876,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,29.0
3877,Femenino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,SI,1A4A,60.0
3878,Femenino,SinFormacion,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,52.0
3879,Masculino,Maestria,tiempoindeterminado,sindicalizado,diurno,NO,10A14A,56.0
3880,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,36.0
3881,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,diurno,NO,5A9A,51.0
3882,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,72.0
3883,Femenino,Secundaria,tiempoindeterminado,sindicalizado,diurno,NO,1A4A,67.0
3884,Masculino,Secundaria,porObraoProyecto,confianza,mixto,SI,6M1A,29.0
3885,Masculino,Secundaria,tiempoindeterminado,confianza,mixto,SI,5A9A,25.0
3886,Masculino,Maestria,tiempoindeterminado,confianza,diurno,SI,5A9A,59.0
3887,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,10A14A,70.0
3888,Masculino,Licenciatura,otro,confianza,diurno,NO,10A14A,83.0
3889,Masculino,SinFormacion,otro,confianza,diurno,NO,5A9A,56.0
3890,Femenino,SinFormacion,otro,confianza,diurno,NO,5A9A,81.0
3891,Masculino,SinFormacion,otro,ninguno,diurno,NO,15A19A,121.0
3892,Masculino,SinFormacion,otro,confianza,diurno,NO,5A9A,57.0
3893,Femenino,SinFormacion,otro,confianza,diurno,NO,5A9A,30.0
3894,Femenino,SinFormacion,otro,confianza,diurno,NO,20A24A,41.0
3895,Masculino,SinFormacion,otro,confianza,diurno,NO,1A4A,68.0
3896,Femenino,SinFormacion,otro,ninguno,diurno,NO,6M1A,98.0
3897,Masculino,SinFormacion,tiempoindeterminado,confianza,diurno,SI,1A4A,72.0
3898,Masculino,SinFormacion,otro,confianza,diurno,NO,1A4A,51.0
3899,Femenino,SinFormacion,otro,confianza,diurno,NO,1A4A,13.0
3900,Masculino,SinFormacion,otro,confianza,diurno,NO,15A19A,35.0
3901,Femenino,SinFormacion,porObraoProyecto,confianza,diurno,SI,Menos6M,126.0
3902,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,96.0
3903,Masculino,SinFormacion,porObraoProyecto,confianza,diurno,SI,Menos6M,28.0
3904,Femenino,Licenciatura,porObraoProyecto,ninguno,diurno,NO,Menos6M,21.0
3905,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,38.0
3906,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,35.0
3907,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,77.0
3908,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,39.0
3909,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,49.0
3910,Femenino,Preparatoria,otro,ninguno,diurno,NO,15A19A,68.0
3911,Masculino,Preparatoria,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,85.0
3912,Masculino,Maestria,tiempoindeterminado,confianza,diurno,NO,1A4A,52.0
3913,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,6M1A,62.0
3914,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,5A9A,39.0
3915,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,70.0
3916,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,101.0
3917,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,55.0
3918,Masculino,SinFormacion,tiempoindeterminado,confianza,diurno,SI,1A4A,26.0
3919,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,40.0
3920,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,93.0
3921,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,51.0
3922,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,85.0
3923,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,48.0
3924,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,47.0
3925,Masculino,Maestria,tiempoindeterminado,ninguno,diurno,NO,1A4A,92.0
3926,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,30.0
3927,Masculino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,41.0
3928,Femenino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,1A4A,62.0
3929,Femenino,SinFormacion,porObraoProyecto,sindicalizado,diurno,SI,Menos6M,83.0
3930,Masculino,Licenciatura,tiempoindeterminado,confianza,diurno,NO,10A14A,84.0
3931,Masculino,Licenciatura,tiempoindeterminado,sindicalizado,mixto,SI,1A4A,105.0
3932,Masculino,TecnicoSuperior,tiempoindeterminado,confianza,diurno,NO,1A4A,74.0
